"TINWSYS_IS_NUMBER","WATER_SYSTEM_NUMBER","SYSTEM_NAME","REGULATING_AGENCY","COUNTY","FEDERAL_CLASSIFICATION_TYPE","SERVICE_CONNECTIONS","POPULATION","OWNER_TYPE","PL_ADDRESS","PL_ADDRESS_CITY_NAME","PL_ADDRESS_STATE_CODE","PL_ADDRESS_ZIP_CODE","LATITUDE_MEASURE","LONGITUDE_MEASURE","SERVICE_AREA_ECONOMIC_STATUS","MHI","CALENVIRO_SCREEN_SCORE","RISK_ASSESSMENT_RESULT","CURRENT_FAILING","FINAL_SAFER_STATUS","FAILING_START_DATE","PRIMARY_MCL_VIOLATION","PRIMARY_ANALYTES","SECONDARY_MCL_VIOLATION","SECONDARY_ANALYTES","E_COLI_VIOLATION","E_COLI_ANALYTES","TREATMENT_TECHNIQUE_VIOLATION","TT_ANALYTES","MONITORING_AND_REPORTING_VIOLATION","MONITORING_AND_REPORTING_ANALYTES","SOURCE_CAPACITY_VIOLATION","SOURCE_CAPACITY_ANALYTES","TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT","WEIGHTED_WATER_QUALITY_SCORE","WATER_QUALITY_SCORE","WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","WATER_QUALITY_RISK_LEVEL","WEIGHTED_ACCESSIBILITY_SCORE","ACCESSIBILITY_SCORE","ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","ASSESSIBILITY_RISK_LEVEL","WEIGHTED_AFFORDABILITY_SCORE","AFFORDABILITY_SCORE","AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","AFFORDABILITY_RISK_LEVEL","WEIGHTED_TMF_CAPACITY_SCORE","TMF_CAPACITY_SCORE","TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","TMF_CAPACITY_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET","HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE","HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET","TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL","PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET","PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET","CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_THRESHOLD_MET","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_THRESHOLD_MET","NUMBER_OF_WATER_SOURCES_RAW_SCORE","NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE","ABESENCE_OF_INTERTIES_RISK_LEVEL","ABESENCE_OF_INTERTIES_THRESHOLD_MET","ABESENCE_OF_INTERTIES_RAW_SCORE","ABESENCE_OF_INTERTIES_WEIGHTED_SCORE","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET","SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE","SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE","EXTREME_WATER_BILL_RISK_LEVEL","EXTREME_WATER_BILL_THRESHOLD_MET","EXTREME_WATER_BILL_RAW_SCORE","EXTREME_WATER_BILL_WEIGHTED_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL","HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE","TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL","TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET","TOTAL_NET_ANNUAL_INCOME_RAW_SCORE","TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE","OPERATING_RATIO_RISK_LEVEL","OPERATING_RATIO_THRESHOLD_MET","OPERATING_RATIO_RAW_SCORE","OPERATING_RATIO_WEIGHTED_SCORE","DAYS_CASH_ON_HAND_RISK_LEVEL","DAYS_CASH_ON_HAND_THRESHOLD_MET","DAYS_CASH_ON_HAND_RAW_SCORE","DAYS_CASH_ON_HAND_WEIGHTED_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET","OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET","MONITORING_AND_REPORTING_VIOLATIONS_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE","SIGNIFICANT_DEFICIENCIES_RISK_LEVEL","SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET","SIGNIFICANT_DEFICIENCIES_RAW_SCORE","SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE","FUNDING_RECEIVED_SINCE_2017","TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017","LEGISTATIVE_DISTRICT","REGIONAL_BOARD","CREATED_DATE"
875,"CA1010001","BAKMAN WATER COMPANY","DISTRICT 12 - VISALIA","FRESNO","COMMUNITY",2675,17393,"PRIVATE","5105 E. BELMONT","FRESNO","CA","93727",36.746693,-119.707275,"DAC","67713","45.221558942996","At-Risk","Failing","Failing","2022-09-07","YES","1,2,3-TRICHLOROPROPANE","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","3.19","1.18","0.39","0.37","LOW","0.67","0.33","0.21","LOW","0.67","0.67","0.21","MEDIUM","0.67","0.33","0.21","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","0.68","1.36","NONE","No violation over the last three years","0","0","MEDIUM","1 Failing list occurrence over the last 3 years","0.5","1.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","Not Applicable","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 8","Region 5 Central Valley (Fresno Office)","2025-11-02"
876,"CA1010003","CITY OF CLOVIS","DISTRICT 12 - VISALIA","FRESNO","COMMUNITY",40788,130130,"LOCAL","155 N. SUNNYSIDE AVENUE","CLOVIS","CA","93611",36.825610,-119.687553,"Non-DAC","94476","20.5625810420399","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",0.00,0.00,"State Senate District 8","Region 5 Central Valley (Fresno Office)","2025-11-02"
877,"CA1010004","COALINGA-CITY","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",4026,17277,"LOCAL","SIXTH & Durian Street, 155 W. DURIAN STREET","COALINGA","CA","93210",36.144990,-120.350276,"DAC","70514","40.0718701457811","Potentially At-Risk","Not Failing","Potentially At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.49","0.00","0.00","0.00","NONE","1.33","0.67","0.53","HIGH","0.33","0.33","0.13","LOW","0.83","0.42","0.33","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,523.53,"State Senate District 12","Region 5 Central Valley (Fresno Office)","2025-11-02"
878,"CA1010005","FIREBAUGH CITY","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",1639,8096,"LOCAL","1133 ""P"" Street","FIREBAUGH","CA","93622",36.865485,-120.459541,"SDAC","43634","51.8749460888828","At-Risk","Not Failing","At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","4.92","1.92","0.64","0.39","HIGH","1.00","0.50","0.20","MEDIUM","2.00","2.00","0.41","HIGH","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.42","0.84","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","HIGH","50% or more sources exceed an MCL","1","3","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","UNKNOWN","UNKNOWN","MISSING","MISSING","UNKNOWN","UNKNOWN","MISSING","MISSING","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",2979258.00,578938.00,"State Senate District 12","Region 5 Central Valley (Sacramento Office)","2025-11-02"
879,"CA1010006","CITY OF FOWLER","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",2305,7448,"LOCAL","128 SOUTH 5TH STREET","FOWLER","CA","93625",36.629186,-119.680984,"SDAC","53950","52.2828078855956","At-Risk","Failing","Failing","2018-08-15","YES","1,2,3-TRICHLOROPROPANE","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","3.83","0.50","0.17","0.13","LOW","1.00","0.50","0.26","MEDIUM","2.00","2.00","0.52","HIGH","0.33","0.17","0.09","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","MEDIUM","1 Failing list occurrence over the last 3 years","0.5","1.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","UNKNOWN","UNKNOWN","MISSING","MISSING","UNKNOWN","UNKNOWN","MISSING","MISSING","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","HIGH","Less than 1","1","1.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 12","Region 5 Central Valley (Fresno Office)","2025-11-02"
880,"CA1010007","CITY OF FRESNO","DISTRICT 11 - MERCED","FRESNO","COMMUNITY",144185,545716,"LOCAL","1910 E. UNIVERSITY AVENUE","FRESNO","CA","93703",36.746866,-119.791623,"DAC","65255","44.4569214973984","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",83046469.33,0.00,"State Senate District 8","Region 5 Central Valley (Fresno Office)","2025-11-02"
881,"CA1010013","HUME LAKE CHRISTIAN CAMPS, INC","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",274,1519,"PRIVATE","61444 HUME RD.","HUME","CA","93628",36.784528,-118.916923,"SDAC","21805","16.6438262747352","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.67","0.00","0.00","0.00","NONE","0.33","0.17","0.20","LOW","0.67","0.67","0.40","MEDIUM","0.67","0.33","0.40","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 8","Region 5 Central Valley (Fresno Office)","2025-11-02"
882,"CA1010017","FCWWD 41/SHAVER LAKE","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",951,2722,"LOCAL","Shaver Lake","SHAVER LAKE","CA","93664",37.082614,-119.323694,"DAC","64207","12.7754191256533","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","0.67","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","0.67","0.33","1.00","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","Not Applicable","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 8","Region 5 Central Valley (Sacramento Office)","2025-11-02"
883,"CA1010018","KERMAN, CITY OF","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",4094,17256,"LOCAL","15201 W. CALIFORNIA AVE","KERMAN","CA","93630",36.724738,-120.063560,"SDAC","50056","44.4833892239719","At-Risk","Failing","Failing","2021-08-06","YES","1,2,3-TRICHLOROPROPANE","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","4.22","2.38","0.79","0.56","HIGH","1.00","0.50","0.24","MEDIUM","0.67","0.67","0.16","MEDIUM","0.17","0.08","0.04","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.50","1.00","NONE","No violation over the last three years","0","0","MEDIUM","1 Failing list occurrence over the last 3 years","0.5","1.0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","0.92","2.76","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 12","Region 5 Central Valley (Fresno Office)","2025-11-02"
884,"CA1010019","KINGSBURG, CITY OF","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",4000,13540,"LOCAL","1200 KERN STREET","KINGSBURG","CA","93631",36.519275,-119.549352,"DAC","76673","40.0034667366408","Not At-Risk","Failing","Failing","2025-06-24","YES","1,2,3-TRICHLOROPROPANE","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.17","0.50","0.17","0.23","LOW","1.00","0.50","0.46","MEDIUM","0.00","0.00","0.00","NONE","0.67","0.33","0.31","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","MEDIUM","1 Failing list occurrence over the last 3 years","0.5","1.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 12","Region 5 Central Valley (Fresno Office)","2025-11-02"
885,"CA1010020","LATON COMMUNITY SERVICES DISTRICT","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",473,1151,"LOCAL","20798 S. Fowler Avenue","LATON","CA","93242",36.432868,-119.686421,"DAC","64426","54.2138879119062","Potentially At-Risk","Not Failing","Potentially At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.50","0.00","0.00","0.00","NONE","1.00","0.50","0.40","MEDIUM","0.67","0.67","0.27","MEDIUM","0.83","0.42","0.33","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 12","Region 5 Central Valley (Fresno Office)","2025-11-02"
